gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2142,3520,2157,2911,4.0,401,401,1438,1200,1441,1880,1240,1676,1673,2345,1685,962,42.4,146.4,0
2070,692,2157,2911,42.0,3811,1800,1867,2105,1441,1425,2065,1629,1632,2345,2527,891,104.75,4323.45,1
2142,692,2157,2911,3.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,76.05,231.8,1
2070,3520,2157,2911,1.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,2345,1685,1432,71.35,71.35,1
2142,3520,2157,2911,1.0,3811,1800,1438,2105,1441,1880,2065,1676,1673,2345,1685,1432,54.3,54.3,0
2070,3520,2055,2911,72.0,3811,1800,1867,2105,1441,1425,1240,1629,1632,997,2527,1432,110.15,7998.8,0
2070,3520,2157,2911,2.0,3811,2011,1867,1200,1864,1425,2065,1676,1673,2345,2527,1432,64.622374368519,137.1,0
2070,3520,2055,2911,22.0,3811,1800,1438,1200,1864,1880,1240,1629,1632,2345,2527,1432,79.2,1742.75,1
2142,3520,2157,2911,32.0,3811,2011,1867,2105,1864,1880,1240,1629,1632,2345,2527,1432,96.2,3183.4,1
2142,692,2157,2911,30.0,3811,1800,1867,1200,1864,1880,2065,1676,1632,2345,2527,927,90.5,2595.85,0
2142,3520,2055,1301,19.0,3811,1800,1867,2105,1864,1880,1240,1629,1632,870,2527,1432,100.95,1875.55,1
2142,3520,2157,2911,3.0,3811,2011,907,907,907,907,907,907,907,2345,2527,1432,20.25,61.45,0
2142,3520,2157,2911,2.0,3811,2011,1438,2105,1864,1880,2065,1676,1673,2345,1685,1432,45.35,89.5,1
2070,3520,2055,1301,0.0,3811,2011,1438,1200,1441,1425,2065,1629,1632,997,1685,962,80.85,2265.937702188392,0
2070,3520,2055,1301,70.0,3811,1800,1438,1200,1441,1425,1240,1629,1673,997,1685,1432,80.7,5617.95,0
2070,692,2055,2911,66.0,401,401,1438,2105,1441,1425,2065,1629,1673,870,1685,891,64.622374368519,3027.25,0
2142,3520,2157,2911,2.0,3811,2011,1438,2105,1864,1880,2065,1676,1673,2345,1685,891,46.05,80.35,1
2070,3520,2055,1301,33.0,3811,2011,907,907,907,907,907,907,907,997,1685,927,19.8,641.35,0
2070,3520,2055,1301,4.0,3811,1800,1438,2105,1441,1880,1240,1676,1673,2345,2527,962,58.5,224.85,0
2070,3520,2157,2911,3.0,3811,2011,1867,2105,1864,1880,2065,1629,1632,2345,2527,1432,89.45,240.45,1
2142,3520,2157,2911,3.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,64.622374368519,229.55,1
2142,3520,2055,1301,25.0,3811,1800,907,907,907,907,907,907,907,997,1685,927,25.5,630.6,0
2070,3520,2055,1301,4.0,3811,2011,1867,2105,1864,1425,2065,1676,1673,2345,2527,1432,73.75,325.45,1
2070,3520,2055,1301,43.0,401,401,1438,1200,1864,1425,1240,1629,1632,870,2527,927,60.4,2640.55,0
2070,3520,2055,2911,22.0,3811,2011,1438,2105,1441,1425,2065,1676,1673,2345,2527,962,54.7,1178.75,0
2070,3520,2157,2911,1.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,70.1,70.1,1
2142,3520,2157,2911,9.0,3811,2011,907,907,907,907,907,907,907,2345,1685,927,19.7,180.7,0
2070,3520,2055,2911,72.0,3811,1800,907,907,907,907,907,907,907,997,1685,927,25.0,1849.2,0
2070,3520,2157,1301,37.0,3811,2011,907,907,907,907,907,907,907,870,1685,891,20.3,755.4,0
2142,3520,2157,2911,33.0,3811,2011,1867,1200,1864,1880,1240,1629,1673,997,2527,1432,64.622374368519,3027.65,0
2070,3520,2157,2911,63.0,3811,1800,1867,2105,1441,1880,2065,1629,1632,997,1685,891,97.45,6253,0
2070,3520,2157,2911,3.0,3811,2011,907,907,907,907,907,907,907,2345,1685,1432,20.2,65.95,0
2142,3520,2055,2911,53.0,3811,1800,1867,1200,1864,1425,2065,1676,1632,2345,1685,1432,93.9,5029.2,1
2142,3520,2157,2911,15.0,3811,1800,1867,1200,1864,1880,2065,1629,1632,2345,2527,1432,99.7,1566.75,0
2070,692,2157,2911,65.0,3811,1800,1867,2105,1441,1425,2065,1629,1673,2345,2527,891,95.45,6223.3,0
2142,3520,2157,2911,57.0,401,401,1438,1200,1864,1425,2065,1629,1632,2345,2527,1432,53.75,3196,0
2070,3520,2055,2911,49.0,3811,2011,907,907,907,907,907,907,907,870,1685,891,20.45,900.9,0
2142,3520,2157,2911,3.0,3811,1800,1438,2105,1864,1880,1240,1629,1673,2345,2527,962,65.25,209.9,0
2142,3520,2055,1301,72.0,3811,1800,1867,1200,1441,1425,1240,1629,1632,997,2527,927,114.3,8058.55,0
2070,3520,2157,2911,23.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,1685,891,64.622374368519,1758.6,1
2070,3520,2157,2911,23.0,3811,1800,907,907,907,907,907,907,907,870,1685,927,24.8,615.35,0
2142,3520,2157,2911,24.0,3811,2011,1438,1200,1864,1880,2065,1676,1673,2345,2527,1432,51.15,1275.7,0
2142,3520,2055,1301,22.0,3811,2011,1438,1200,1864,1425,1240,1629,1673,870,2527,891,67.5,1544.05,1
2142,3520,2157,2911,3.0,3811,2011,1867,2105,1864,1425,2065,1676,1632,2345,1685,927,85.7,256.75,0
2142,3520,2157,2911,20.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,2345,1685,927,70.55,1493.55,0
2070,3520,2055,2911,72.0,3811,1800,1867,1200,1441,1425,2065,1629,1632,997,2527,927,110.65,8065.65,0
2070,3520,2055,2911,72.0,3811,2011,907,907,907,907,907,907,907,997,1685,891,19.4,1496.45,0
2070,692,2055,2911,57.0,3811,1800,1867,2105,1441,1425,2065,1676,1632,2345,1685,927,94.0,5438.95,0
2142,3520,2055,1301,50.0,3811,1800,1438,1200,1864,1880,1240,1629,1673,997,2527,927,70.5,3486.65,0
2142,3520,2055,1301,72.0,3811,2011,1438,2105,1441,1425,2065,1629,1632,997,2527,891,75.4,5480.25,0
2070,3520,2055,2911,7.0,3811,2011,1867,2105,1864,1425,2065,1676,1673,2345,2527,891,64.622374368519,496.9,1
2070,3520,2055,1301,25.0,3811,1800,1867,2105,1864,1425,2065,1676,1632,2345,2527,1432,89.1,2368.4,1
2142,692,2055,2911,68.0,3811,1800,1867,2105,1864,1425,2065,1676,1673,2345,2527,927,64.622374368519,5589.3,0
2070,3520,2055,2911,46.0,3811,1800,1867,2105,1441,1425,1240,1629,1632,997,2527,927,108.9,4854.3,0
2142,3520,2157,2911,31.0,3811,1800,1867,2105,1441,1880,2065,1676,1673,2345,2527,1432,80.45,2429.1,0
2142,3520,2157,1301,64.0,3811,2011,1867,2105,1441,1880,1240,1629,1632,2345,2527,927,99.15,6171.2,0
2142,3520,2055,1301,50.0,3811,1800,1867,1200,1441,1425,2065,1629,1632,870,2527,1432,108.25,5431.4,0
2070,3520,2157,2911,50.0,3811,2011,907,907,907,907,907,907,907,870,2527,962,19.35,1033,0
2142,692,2157,2911,2.0,401,401,1438,2105,1864,1880,2065,1676,1673,2345,2527,962,24.45,47.5,1
2142,3520,2157,1301,19.0,3811,2011,907,907,907,907,907,907,907,997,1685,927,20.85,467.5,0
2142,3520,2157,1301,35.0,3811,2011,1867,2105,1864,1425,2065,1629,1673,870,2527,1432,85.15,3030.6,1
2142,692,2157,2911,25.0,3811,1800,1867,2105,1441,1880,2065,1629,1673,2345,2527,1432,88.95,2291.2,1
2142,3520,2157,2911,32.0,3811,2011,1867,1200,1441,1425,2065,1676,1632,2345,2527,927,93.4,2979.3,0
2070,3520,2055,1301,58.0,401,401,1438,1200,1864,1425,1240,1629,1632,997,1685,962,59.75,3624.35,0
2070,3520,2157,1301,63.0,3811,2011,907,907,907,907,907,907,907,997,1685,927,19.5,1215.1,0
2070,3520,2157,2911,11.0,3811,1800,907,907,907,907,907,907,907,870,1685,1432,25.2,245.15,0
2142,3520,2157,1301,21.0,3811,2011,1438,2105,1864,1880,2065,1676,1673,2345,1685,962,45.65,985.05,0
2142,692,2157,2911,52.0,401,401,1438,2105,1441,1880,2065,1629,1632,2345,2527,1432,64.622374368519,2550.9,1
2070,3520,2157,2911,11.0,3811,2011,907,907,907,907,907,907,907,870,1685,962,20.0,211.95,0
2070,3520,2157,2911,1.0,401,401,1438,2105,1864,1880,2065,1629,1673,2345,2527,1432,34.7,34.7,1
2070,3520,2157,2911,56.0,3811,2011,907,907,907,907,907,907,907,997,2527,891,19.55,1080.55,0
2142,3520,2055,2911,52.0,3811,2011,1867,1200,1864,1880,2065,1629,1673,2345,1685,1432,84.1,4348.65,1
2142,692,2055,2911,65.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,870,2527,891,70.95,4555.2,0
2142,692,2055,2911,36.0,3811,1800,1867,2105,1864,1880,2065,1676,1632,2345,2527,927,85.25,3132.75,1
2070,3520,2157,2911,1.0,3811,2011,1867,2105,1864,1880,2065,1676,1632,2345,2527,1432,81.1,81.1,1
2142,692,2157,2911,20.0,3811,2011,1867,2105,1864,1880,2065,1629,1632,2345,1685,1432,89.95,1648.45,0
2070,3520,2055,1301,48.0,401,401,1438,1200,1864,1425,2065,1676,1632,870,1685,927,45.0,2196.3,0
2070,3520,2157,2911,1.0,3811,2011,1438,2105,1864,1880,2065,1676,1673,2345,1685,962,45.35,45.35,0
2070,3520,2157,2911,39.0,3811,2011,1438,2105,1441,1880,2065,1629,1673,870,2527,927,58.6,2224.5,0
2142,3520,2157,2911,18.0,3811,2011,1867,2105,1864,1880,1240,1676,1673,2345,2527,891,64.622374368519,1373.05,0
2142,3520,2055,1301,11.0,3811,2011,1867,2105,1864,1880,2065,1629,1632,2345,1685,1432,90.6,1020.2,0
2070,3520,2157,1301,13.0,401,401,1438,2105,1441,1880,2065,1676,1673,2345,1685,1432,30.15,382.2,0
2142,3520,2157,1301,1.0,401,401,1438,2105,1864,1880,2065,1676,1673,2345,1685,962,24.2,24.2,0
2142,3520,2055,2911,71.0,3811,1800,1867,2105,1441,1425,1240,1629,1632,870,2527,891,113.15,7953.25,0
2142,3520,2055,2911,67.0,3811,1800,907,907,907,907,907,907,907,997,1685,927,24.85,1583.5,0
2070,3520,2157,1301,7.0,3811,2011,907,907,907,907,907,907,907,870,1685,962,20.05,96.8,0
2070,3520,2157,2911,34.0,3811,2011,1438,1200,1441,1880,2065,1676,1673,870,1685,962,55.0,1885.15,0
2070,3520,2055,1301,64.0,401,401,1438,2105,1441,1425,1240,1676,1632,997,1685,1432,49.85,3210.35,0
2142,692,2055,2911,53.0,3811,1800,1867,2105,1441,1425,2065,1629,1632,2345,2527,1432,103.85,5485.5,1
2142,3520,2055,1301,34.0,3811,1800,1867,2105,1864,1425,2065,1676,1632,2345,2527,927,90.05,3097,0
2142,692,2055,1301,11.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,927,75.2,775.3,0
2142,3520,2055,1301,11.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,74.35,834.2,1
2070,3520,2055,1301,72.0,401,401,1438,1200,1441,1425,1240,1629,1632,997,2527,927,64.622374368519,4784.45,0
2142,3520,2055,1301,65.0,3811,1800,1438,1200,1441,1880,2065,1676,1632,997,2527,962,64.622374368519,4459.15,0
2142,3520,2055,2911,72.0,3811,1800,1438,1200,1441,1425,1240,1629,1632,997,2527,891,64.622374368519,6254.45,0
2070,692,2055,2911,1.0,401,401,1438,2105,1864,1880,2065,1676,1673,2345,2527,1432,24.8,24.8,1
2070,3520,2055,1301,71.0,3811,1800,1438,1200,1441,1425,1240,1676,1673,997,1685,962,71.1,5224.95,0
2142,3520,2055,1301,72.0,3811,1800,1438,1200,1864,1880,2065,1676,1673,997,1685,891,55.3,3983.6,0
2142,3520,2157,2911,15.0,3811,2011,1867,2105,1864,1425,2065,1629,1673,2345,1685,1432,85.3,1219.85,0
2142,3520,2055,2911,50.0,3811,2011,907,907,907,907,907,907,907,997,1685,1432,19.8,1013.2,0
2070,3520,2157,2911,63.0,3811,1800,1867,2105,1441,1425,1240,1629,1632,2345,2527,927,109.85,7002.95,0
2142,3520,2055,2911,61.0,3811,1800,1438,2105,1441,1425,2065,1629,1632,870,2527,1432,79.8,4914.8,0
2142,3520,2157,2911,12.0,3811,2011,1867,1200,1864,1425,2065,1676,1673,2345,1685,891,81.7,858.6,1
2142,3520,2157,2911,2.0,3811,2011,1438,1200,1864,1425,2065,1676,1673,2345,1685,1432,64.622374368519,119.5,0
2070,3520,2157,2911,39.0,3811,1800,1867,2105,1441,1425,2065,1629,1632,2345,2527,1432,103.45,3994.45,1
2142,3520,2157,2911,25.0,3811,1800,1867,2105,1864,1880,2065,1629,1632,2345,2527,891,94.7,2362.1,1
2070,3520,2157,2911,29.0,3811,2011,1438,1200,1441,1425,2065,1676,1632,2345,2527,891,68.85,1970.5,1
2070,3520,2157,2911,63.0,3811,1800,1867,1200,1441,1425,2065,1629,1673,997,1685,927,98.0,6218.45,0
2142,692,2157,2911,65.0,3811,2011,1867,2105,1441,1425,2065,1629,1632,2345,2527,891,99.1,6496.15,0
2070,3520,2055,2911,7.0,3811,1800,1867,2105,1864,1880,2065,1629,1673,2345,2527,1432,86.5,582.5,1
2142,3520,2055,2911,49.0,3811,2011,1867,2105,1441,1880,2065,1629,1673,2345,2527,927,85.3,4297.95,0
2142,3520,2157,2911,19.0,3811,2011,1867,2105,1864,1425,1240,1629,1673,2345,1685,962,89.95,1682.4,0
2142,3520,2157,2911,24.0,3811,1800,1438,2105,1864,1880,1240,1676,1673,870,1685,891,54.6,1242.25,0
2142,3520,2157,2911,1.0,3811,2011,907,907,907,907,907,907,907,2345,1685,962,64.622374368519,20.2,0
2142,3520,2157,2911,6.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,74.9,469.8,1
2070,3520,2157,2911,12.0,3811,1800,1438,2105,1864,1880,1240,1629,1632,870,1685,962,74.05,872.65,1
2142,3520,2157,2911,1.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,74.95,74.95,1
2142,3520,2055,2911,1.0,3811,2011,1438,1200,1864,1425,2065,1676,1673,2345,1685,962,55.7,55.7,0
2070,3520,2157,2911,56.0,3811,2011,907,907,907,907,907,907,907,997,1685,891,19.7,1051.9,0
2142,3520,2157,2911,65.0,3811,1800,907,907,907,907,907,907,907,870,1685,927,24.8,1600.95,0
2142,3520,2157,2911,1.0,3811,1800,1867,2105,1864,1880,2065,1629,1673,2345,2527,962,84.65,84.65,1
2070,3520,2157,1301,2.0,3811,1800,1867,2105,1864,1880,2065,1629,1632,2345,2527,891,94.2,193.8,1
2070,3520,2157,2911,46.0,3811,1800,1438,1200,1864,1425,2065,1629,1632,997,1685,962,79.2,3593.8,0
2070,3520,2157,1301,62.0,3811,1800,907,907,907,907,907,907,907,997,1685,891,26.0,1638.7,0
2142,3520,2157,2911,63.0,3811,2011,1867,1200,1441,1425,1240,1629,1632,997,1685,927,109.2,7049.75,0
2070,3520,2055,1301,22.0,3811,2011,1438,2105,1441,1880,1240,1676,1673,2345,1685,1432,55.15,1206.05,1
2070,3520,2157,2911,13.0,401,401,1438,2105,1864,1880,2065,1676,1673,2345,2527,1432,23.9,300.8,1
2142,3520,2055,1301,50.0,3811,2011,907,907,907,907,907,907,907,870,2527,962,20.35,938.95,0
2142,3520,2157,2911,31.0,3811,1800,1867,2105,1864,1880,1240,1676,1673,870,1685,927,81.7,2548.65,0
2142,3520,2157,2911,5.0,401,401,1438,1200,1864,1425,1240,1676,1673,2345,1685,962,40.0,223.45,1
2070,3520,2055,2911,16.0,3811,2011,1867,2105,1441,1880,2065,1629,1632,2345,2527,891,94.65,1461.15,0
2142,3520,2157,2911,64.0,3811,1800,1867,2105,1864,1425,1240,1629,1632,870,2527,927,104.65,6889.8,0
2142,3520,2055,2911,67.0,401,401,1438,1200,1441,1880,1240,1676,1632,997,2527,891,50.95,3521.7,0
2070,3520,2055,2911,2.0,3811,2011,907,907,907,907,907,907,907,2345,1685,891,20.1,43.15,0
2142,3520,2055,1301,52.0,3811,2011,1438,2105,1441,1425,1240,1629,1673,870,2527,1432,68.75,3482.85,0
2070,3520,2157,2911,10.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,962,75.75,777.3,0
2142,3520,2157,2911,63.0,3811,1800,1438,1200,1864,1425,1240,1676,1632,997,2527,891,71.9,4479.2,0
2070,3520,2157,2911,21.0,3811,1800,1867,2105,1864,1880,2065,1629,1632,2345,2527,1432,97.35,2119.5,1
2142,3520,2055,1301,24.0,3811,2011,1438,1200,1864,1425,2065,1676,1673,870,2527,927,56.25,1454.25,0
2142,3520,2157,2911,13.0,3811,2011,907,907,907,907,907,907,907,870,1685,927,19.3,259.65,0
2070,3520,2055,1301,3.0,3811,2011,1867,2105,1864,1880,2065,1676,1632,2345,2527,1432,80.3,250.05,1
2070,3520,2157,2911,50.0,3811,2011,907,907,907,907,907,907,907,870,1685,891,19.75,989.05,0
2070,692,2055,2911,72.0,3811,1800,1867,1200,1441,1880,2065,1629,1632,870,2527,891,106.85,7677.4,0
2142,3520,2055,1301,25.0,3811,1800,1438,2105,1864,1880,2065,1629,1673,2345,1685,1432,60.35,1404.65,0
2142,3520,2157,2911,5.0,3811,2011,1438,2105,1864,1425,2065,1629,1632,870,2527,962,70.0,347.4,1
2070,3520,2157,2911,50.0,3811,1800,1867,2105,1864,1880,2065,1629,1632,2345,2527,1432,95.7,4729.75,0
2142,3520,2055,2911,72.0,3811,2011,1867,2105,1864,1425,2065,1629,1632,2345,2527,1432,94.65,6747.35,0
2142,3520,2157,2911,2.0,401,401,1438,2105,1864,1880,1240,1676,1673,2345,1685,891,29.85,75.6,1
2142,692,2055,2911,65.0,3811,1800,1867,2105,1441,1425,2065,1629,1632,870,2527,891,103.15,6792.45,0
2142,3520,2055,1301,33.0,3811,2011,1438,2105,1864,1425,1240,1629,1632,870,2527,962,73.9,2405.05,1
2070,3520,2055,1301,23.0,401,401,1438,1200,1864,1880,1240,1676,1673,997,1685,962,34.6,813.45,0
2142,3520,2055,1301,50.0,3811,1800,907,907,907,907,907,907,907,997,1685,962,24.95,1261.45,0
2070,3520,2055,1301,49.0,3811,2011,1438,1200,1864,1425,1240,1676,1673,2345,1685,891,61.75,3024.15,0
2142,3520,2157,1301,6.0,3811,2011,907,907,907,907,907,907,907,2345,1685,962,19.7,111.65,0
2070,3520,2055,2911,26.0,3811,2011,1438,2105,1441,1425,1240,1629,1632,2345,1685,891,81.9,2078.55,0
2142,3520,2157,2911,1.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,69.55,69.55,1
2142,3520,2055,2911,42.0,3811,1800,1867,2105,1441,1425,2065,1629,1673,2345,2527,891,95.25,3959.35,1
2142,3520,2157,2911,56.0,3811,1800,907,907,907,907,907,907,907,997,2527,891,25.95,1444.05,0
2142,3520,2055,1301,0.0,3811,2011,907,907,907,907,907,907,907,997,1685,962,19.85,2265.937702188392,0
2070,3520,2055,2911,59.0,3811,1800,1867,1200,1441,1425,2065,1629,1632,870,2527,927,109.15,6557.75,0
2070,692,2055,1301,57.0,3811,2011,1867,2105,1441,1425,1240,1629,1673,2345,2527,927,95.3,5567.45,0
2142,692,2157,2911,4.0,401,401,1438,2105,1441,1880,2065,1629,1632,2345,2527,927,50.95,207.35,0
2070,3520,2055,1301,52.0,3811,2011,1438,2105,1864,1425,2065,1676,1673,870,2527,891,50.95,2610.65,0
2142,692,2055,2911,3.0,3811,1800,1867,2105,1864,1880,2065,1629,1632,2345,2527,1432,94.6,279.55,1
2142,3520,2157,2911,1.0,3811,2011,1438,2105,1864,1880,2065,1676,1673,2345,1685,962,45.05,45.05,1
2142,3520,2055,2911,61.0,3811,2011,1867,2105,1441,1425,1240,1676,1632,2345,1685,927,94.15,5731.85,0
2070,3520,2055,1301,65.0,3811,1800,1438,1200,1441,1425,1240,1629,1632,997,1685,891,91.55,5963.95,0
2142,3520,2157,2911,68.0,3811,1800,1867,1200,1441,1425,1240,1629,1632,870,2527,927,117.2,8035.95,0
2070,3520,2055,1301,70.0,3811,1800,1867,2105,1441,1425,2065,1629,1632,870,2527,1432,106.5,7397,0
2070,3520,2055,2911,18.0,3811,2011,1867,2105,1864,1425,2065,1629,1632,2345,2527,927,95.95,1745.5,0
2070,3520,2055,1301,72.0,401,401,1438,1200,1441,1425,1240,1629,1632,997,2527,891,63.8,4684.3,0
2142,3520,2055,1301,38.0,3811,2011,1438,1200,1864,1425,1240,1629,1632,997,1685,927,64.622374368519,3084.9,0
2070,692,2055,2911,47.0,3811,1800,1867,1200,1864,1880,2065,1676,1673,2345,1685,1432,80.35,3825.85,1
2070,3520,2055,1301,52.0,3811,2011,1867,1200,1864,1425,2065,1629,1632,870,1685,1432,100.3,5244.45,0
2142,3520,2157,2911,8.0,3811,1800,1867,2105,1441,1880,2065,1629,1632,2345,1685,1432,100.85,819.55,1
2070,3520,2157,2911,31.0,3811,1800,1867,2105,1864,1880,1240,1676,1673,2345,2527,927,79.85,2404.15,1
2142,692,2055,2911,13.0,3811,1800,1867,1200,1441,1880,2065,1676,1632,2345,1685,927,93.8,1261,0
2070,3520,2157,2911,6.0,3811,2011,1867,2105,1441,1880,2065,1676,1632,2345,2527,962,85.95,514.6,0
2070,3520,2157,2911,58.0,3811,1800,907,907,907,907,907,907,907,997,1685,927,24.35,1423.85,0
2142,692,2055,2911,58.0,3811,1800,1867,1200,1441,1425,2065,1629,1632,870,2527,1432,108.85,6287.25,1
2070,3520,2055,1301,67.0,3811,1800,907,907,907,907,907,907,907,997,2527,962,24.9,1680.25,0
2070,3520,2055,2911,71.0,3811,1800,907,907,907,907,907,907,907,997,1685,891,64.622374368519,1836.9,0
2070,3520,2157,1301,18.0,401,401,1438,2105,1864,1880,2065,1676,1632,2345,2527,1432,35.0,553,1
2142,3520,2055,1301,3.0,3811,2011,1438,2105,1441,1425,2065,1676,1673,2345,2527,962,56.15,168.15,1
2142,3520,2055,2911,72.0,3811,1800,907,907,907,907,907,907,907,997,2527,891,64.622374368519,1723.95,0
2070,3520,2157,2911,28.0,3811,2011,1438,1200,1441,1880,1240,1676,1673,870,2527,1432,59.9,1654.7,0
2070,3520,2157,2911,2.0,3811,2011,907,907,907,907,907,907,907,2345,1685,962,20.35,45.3,0
2142,3520,2157,2911,27.0,3811,2011,907,907,907,907,907,907,907,2345,2527,927,19.4,460.25,0
2070,3520,2055,1301,41.0,3811,2011,1867,2105,1864,1425,2065,1629,1632,2345,2527,891,94.9,3848,0
2070,3520,2157,2911,2.0,3811,2011,1867,2105,1864,1880,2065,1629,1673,2345,2527,1432,64.622374368519,144.15,1
2142,3520,2157,1301,52.0,3811,2011,907,907,907,907,907,907,907,870,1685,927,19.65,928.4,0
2142,3520,2055,1301,63.0,3811,2011,907,907,907,907,907,907,907,997,1685,962,19.7,1275.85,0
2142,692,2055,2911,21.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,69.1,1474.75,1
2070,3520,2055,1301,69.0,3811,1800,1867,2105,1441,1425,1240,1629,1632,870,2527,891,108.75,7493.05,0
2070,692,2055,2911,25.0,3811,2011,1867,2105,1441,1425,2065,1629,1632,2345,2527,1432,64.622374368519,2514.5,1
2142,692,2055,2911,69.0,3811,1800,1867,1200,1864,1425,1240,1629,1632,870,2527,962,110.55,7610.1,0
2070,692,2157,2911,33.0,401,401,1438,1200,1441,1425,2065,1629,1632,2345,2527,891,59.45,1884.65,0
2070,3520,2055,2911,39.0,401,401,1438,1200,1864,1425,2065,1629,1632,2345,1685,1432,55.9,2184.35,1
2142,3520,2055,1301,72.0,3811,2011,907,907,907,907,907,907,907,997,1685,1432,20.55,1432.55,0
2070,3520,2055,1301,59.0,3811,2011,1438,2105,1441,1880,1240,1629,1632,997,2527,927,75.95,4542.35,0
2070,3520,2157,2911,41.0,3811,2011,907,907,907,907,907,907,907,870,2527,962,19.75,806.95,0
2070,3520,2157,2911,9.0,3811,2011,1867,2105,1864,1880,2065,1629,1632,2345,2527,891,90.8,809.75,1
2142,3520,2055,2911,25.0,401,401,1438,2105,1864,1425,2065,1629,1673,870,2527,927,38.1,970.4,0
2070,3520,2157,2911,34.0,3811,2011,1867,2105,1864,1880,2065,1676,1673,2345,2527,927,70.0,2416.1,1
2070,3520,2157,2911,1.0,401,401,1438,2105,1864,1880,2065,1676,1673,2345,1685,891,25.25,25.25,0
2142,3520,2055,2911,35.0,3811,1800,1867,2105,1864,1880,2065,1676,1673,2345,2527,1432,75.2,2576.2,1
2070,3520,2157,2911,47.0,3811,2011,907,907,907,907,907,907,907,997,2527,962,64.622374368519,945.7,0
2070,3520,2157,2911,18.0,3811,1800,1438,2105,1864,1880,2065,1676,1673,2345,2527,1432,50.3,913.3,0
2070,3520,2055,2911,49.0,401,401,1438,2105,1441,1880,1240,1629,1632,870,2527,927,56.3,2780.6,0
2142,3520,2157,2911,3.0,3811,2011,1438,1200,1864,1880,2065,1676,1673,2345,2527,962,50.15,160.85,0
2142,692,2157,2911,13.0,3811,2011,1438,2105,1441,1880,2065,1629,1673,2345,2527,1432,59.9,788.35,0
